"SubmissionID","finished","pause","scrubbed","unused","Recording","finished.p","pause.p","scrubbed.p","unused.p","project","course","sem","report"
1545,3,0,0,0,3,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1546,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1547,6,7,6,0,7,86,100,86,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1548,3,3,0,4,7,43,43,0,57,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1549,7,7,0,0,7,100,100,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1550,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1552,5,1,2,0,5,100,20,40,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1553,1,1,0,0,1,100,100,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1554,0,0,0,4,4,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1555,6,2,0,1,7,86,29,0,14,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1556,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1557,7,0,1,0,7,100,0,14,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1558,4,4,0,0,4,100,100,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1559,5,4,3,0,6,83,67,50,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1560,0,0,0,17,17,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1562,0,1,0,2,3,0,33,0,67,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1563,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1564,1,1,0,0,1,100,100,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1567,3,0,0,0,3,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1568,0,0,0,15,15,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1569,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1572,1,0,0,4,5,20,0,0,80,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1573,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1575,0,0,0,20,20,0,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1576,9,0,0,0,9,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1577,3,4,2,0,5,60,80,40,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1578,1,0,0,0,1,100,0,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
