"StudentID","SubmissionID","MarkerID","Publish.Time","Intro","Hypoth","Methods","Results.text","Fig.Tables","Legend.Title","Disc.InterpFindings","Disc.IntegrateLit","Refs","Kn.PhysMechs","Kn.ExpApproach","W.Structure","W.LanguageJargon","W.GrammarSpelling","Final.Grade","project","course","sem","report"
"S8550323",3245,"T30","29/04/13 14:26",35,80,35,35,50,35,35,35,35,35,35,50,50,"50",40.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8587685",3246,"T30","29/04/13 14:26",65,100,65,80,50,100,65,80,80,80,65,50,65,"80",73,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8576127",3247,"T25","29/04/13 14:26",50,80,100,65,100,100,65,65,80,65,65,35,65,"100",72.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8585081",3248,"T31","29/04/13 14:26",50,80,65,65,80,80,65,35,65,65,80,65,65,"50",62.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8522963",3249,"T05","29/04/13 14:29",65,100,65,100,100,100,50,50,100,50,35,65,65,"80",67.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8588375",3250,"T31","29/04/13 14:26",80,100,65,65,65,80,80,65,65,80,100,100,100,"80",78.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8529621",3251,"T30","29/04/13 14:26",35,80,65,50,50,65,35,35,20,35,35,35,50,"50",44,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8608903",3252,"T30","29/04/13 14:26",65,100,65,80,100,100,65,80,100,80,65,100,80,"80",79.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8242993",3253,"T25","29/04/13 14:26",100,100,100,50,20,35,65,50,80,80,65,80,50,"65",70.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8576295",3254,"T31","29/04/13 14:26",35,100,80,50,65,65,65,50,50,50,80,80,65,"65",61.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8578535",3255,"T25","29/04/13 14:26",50,80,100,50,100,80,65,65,100,50,65,80,80,"100",72.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8575171",3256,"T28","29/04/13 14:29",50,65,80,50,50,50,35,50,80,35,50,65,65,"80",54.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8393733",3257,"T28","29/04/13 14:29",35,80,35,65,35,20,20,0,50,20,20,50,50,"80",34.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8578403",3258,"T05","29/04/13 14:26",50,100,80,100,100,100,65,65,50,80,65,65,80,"80",75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8434511",3259,"T31","29/04/13 14:26",65,100,65,65,80,100,80,80,80,80,65,100,80,"80",78.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8579313",3261,"T25","30/04/13 10:44",65,100,100,35,100,100,65,65,100,65,50,50,80,"100",75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8288857",3264,"T05","29/04/13 14:26",35,65,80,80,100,100,35,50,80,50,50,65,65,"80",61.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8532305",3265,"T05","29/04/13 14:26",50,100,80,80,100,100,65,65,80,80,65,50,50,"50",71.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8584217",3266,"T05","29/04/13 14:26",50,100,80,65,100,100,50,35,80,65,50,65,80,"80",67.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8517757",3267,"T25","29/04/13 14:26",35,80,80,35,100,100,65,65,65,65,65,50,50,"100",66.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8619531",3268,"T05","29/04/13 14:26",35,65,65,50,100,100,20,20,80,0,20,50,50,"80",43.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8588221",3269,"T28","29/04/13 14:26",80,65,50,35,50,65,65,20,65,65,50,50,80,"65",57.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8586403",3271,"T05","29/04/13 14:29",20,100,50,100,80,0,20,20,100,35,20,65,80,"80",47.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8583305",3272,"T30","29/04/13 14:26",50,100,65,65,65,100,50,50,65,50,65,65,65,"65",61.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8579073",3273,"T32","29/04/13 14:26",80,65,80,65,100,80,50,65,80,65,65,100,100,"80",74,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8578821",3274,"T32","29/04/13 14:26",50,80,100,65,100,100,50,35,80,65,35,100,65,"100",69.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8586437",3275,"T30","29/04/13 14:26",35,80,100,50,80,65,50,35,50,50,65,65,65,"65",58.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8571187",3276,"T32","29/04/13 14:26",35,65,65,50,100,100,35,35,80,65,50,100,80,"100",63,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8580595",3277,"T30","29/04/13 14:26",50,80,50,80,80,65,50,35,35,50,50,50,50,"50",53,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
