"","SubID","MarkerID","AnnotType","Page","Xlocation","Ylocation","Xdim","Ydim","Filename","Annotation","Duration.sec","Consent"
"1",4802,"T31","Highlight",3,0.5077965,0.132677,0.1618657,0.06290026,"annot__2013_05_25_12_07_33.png","Annotation",NA,"Yes"
"2",4802,"T31","Highlight",4,0.1341238,0.490758,0.75765,0.3810092,"annot__2013_05_25_12_24_39.png","Annotation",NA,"Yes"
"3",4802,"T31","Highlight",4,0.1499941,0.07884759,0.6790922,0.06595898,"annot__2013_05_25_12_12_52.png","Annotation",NA,"Yes"
"4",4802,"T31","Highlight",2,0.2530786,0.667519,0.2718033,0.02451306,"annot__2013_05_25_12_01_19.png","Annotation",NA,"Yes"
"5",4802,"T31","Recording",4,0.8751155,0.5015616,30,30,"annot__2013_05_25_12_16_01.m4a","Results",82,"Yes"
"6",4802,"T31","Text",3,0.7452679,0.1478648,0.1398026,0.05036726,"","Bicep brachii",NA,"Yes"
"7",4802,"T31","Highlight",4,0.4724491,0.148179,0.2650224,0.024666,"annot__2013_05_25_12_13_26.png","Annotation",NA,"Yes"
"8",4802,"T31","Text",4,0.8185562,0.08443169,0.1367188,0.02471354,"ann__2013_05_25_12_13_04.(null)","Awkward wording",NA,"Yes"
"9",4802,"T31","Text",4,0.4422903,0.8408784,0.4070724,0.03293244,"","To baseline??? You don't have a baseline....",NA,"Yes"
"10",4802,"T31","Recording",2,0.9486958,0.7601185,30,30,"annot__2013_05_25_12_05_31.m4a","Intro 2",62,"Yes"
"11",4802,"T31","Highlight",4,0.1319597,0.1012784,0.2311177,0.03639118,"annot__2013_05_25_12_12_32.png","Annotation",NA,"Yes"
"12",4802,"T31","Text",2,0.4538104,0.4982311,0.4207785,0.05507376,"ann__2013_05_24_11_58_57.(null)","A paragraph should consist of at LEAST three sentences.",NA,"Yes"
"13",4802,"T31","Recording",3,0.8881003,0.781228,30,30,"annot__2013_05_25_12_14_05.m4a","Methods",12,"Yes"
"14",4802,"T31","Recording",2,0.9176766,0.5444773,30,30,"annot__2013_05_25_12_01_36.m4a","Intro",57,"Yes"
"15",4802,"T31","Highlight",5,0.1398948,0.3426169,0.6834204,0.05321425,"annot__2013_05_25_12_20_13.png","Annotation",NA,"Yes"
"16",4802,"T31","Recording",5,0.9328256,0.439575,30,30,"annot__2013_05_25_12_21_13.m4a","Discussion",94,"Yes"
"17",4802,"T31","Highlight",3,0.8244804,0.1663232,0.03194585,0.02257586,"annot__2013_05_25_12_12_14.png","Annotation",NA,"Yes"
"18",4802,"T31","Highlight",5,0.1348452,0.145838,0.6069546,0.02925411,"annot__2013_05_25_12_18_01.png","Annotation",NA,"Yes"
"19",4802,"T31","Text",2,0.8052357,0.4565139,0.05756579,0.03293055,"ann__2013_05_24_11_59_52.(null)","Ref",NA,"Yes"
"20",4802,"T31","Recording",2,0.245482,0.03927584,30,30,"annot__2013_05_25_12_31_19.m4a","Overview",76,"Yes"
"21",4803,"T25","Recording",5,0.08178221,0.8370705,30,30,"annot__2013_06_02_06_58_23.m4a","Annotation 23",48,"Yes"
"22",4803,"T25","Recording",4,0.08989768,0.5042633,30,30,"annot__2013_06_02_06_57_12.m4a","Annotation 21",14,"Yes"
"23",4803,"T25","Freehand",4,0.04731854,0.1409917,0.3535861,0.22974,"annot__2013_06_02_06_55_40.png","Annotation",NA,"Yes"
"24",4803,"T25","Recording",4,0.0980132,0.3031715,30,30,"annot__2013_06_02_06_55_42.m4a","Annotation 20",32,"Yes"
"25",4803,"T25","Text",4,0.07258473,0.3573534,0.05550987,0.02700732,"","(N=7)",NA,"Yes"
"26",4803,"T25","Recording",6,0.04715617,0.6146805,30,30,"annot__2013_06_02_06_59_35.m4a","Annotation 25",9,"Yes"
"27",4803,"T25","Recording",2,0.06521814,0.5212393,30,30,"annot__2013_06_02_06_47_46.m4a","Annotation 9",37,"Yes"
"28",4803,"T25","Text",2,0.7123682,0.2208307,0.04317434,0.02700732,"","Ref",NA,"Yes"
"29",4803,"T25","Highlight",2,0.06073905,0.2525405,0.05142337,0.03447929,"annot__2013_06_02_06_44_55.png","Annotation",NA,"Yes"
"30",4803,"T25","Text",4,0.231648,0.3025862,0.1151316,0.02700732,"","Mean +/- SEM",NA,"Yes"
"31",4803,"T25","Recording",3,0.8619502,0.7542455,30,30,"annot__2013_06_02_06_52_41.m4a","Annotation 14",30,"Yes"
"32",4803,"T25","Highlight",2,0.0817669,0.2912508,0.8222414,0.4528083,"annot__2013_06_02_06_45_59.png","Annotation",NA,"Yes"
"33",4803,"T25","Recording",3,0.09490452,0.5167822,30,30,"annot__2013_06_02_06_50_06.m4a","Annotation 12",24,"Yes"
"34",4803,"T25","Recording",3,0.1753808,0.7964705,30,30,"annot__2013_06_02_06_53_25.m4a","Annotation 16",76,"Yes"
"35",4803,"T25","Recording",2,0.08129826,0.2703388,30,30,"annot__2013_06_02_06_44_21.m4a","Annotation 1",20,"Yes"
"36",4803,"T25","Recording",2,0.08810139,0.7372527,30,30,"annot__2013_06_02_06_48_27.m4a","Annotation 10",46,"Yes"
"37",4803,"T25","Highlight",3,0.8610141,0.2010676,0.1184267,0.09198944,"annot__2013_06_02_06_49_51.png","Annotation",NA,"Yes"
"38",4803,"T25","Highlight",3,0.06754218,0.5008956,0.765961,0.2888866,"annot__2013_06_02_06_52_25.png","Annotation",NA,"Yes"
"39",4803,"T25","Text",2,0.497142,0.3627687,0.04317434,0.02700732,"","Ref",NA,"Yes"
"40",4803,"T25","Text",2,0.7216452,0.2944282,0.04317434,0.02700732,"","Ref",NA,"Yes"
"41",4804,"T05","Recording",2,0.9488761,0.1618445,30,30,"annot__2013_05_28_12_14_56.m4a","Annotation 1",47,"Yes"
"42",4804,"T05","Recording",5,0.7220395,0.5769474,30,30,"annot__2013_05_28_12_26_39.m4a","Annotation 5",72,"Yes"
"43",4804,"T05","Recording",2,0.09018642,0.3800213,30,30,"annot__2013_05_28_12_16_23.m4a","Annotation 2",5,"Yes"
"44",4804,"T05","Recording",3,0.5418037,0.1881229,30,30,"annot__2013_05_28_12_18_46.m4a","Annotation 4",15,"Yes"
"45",4804,"T05","Recording",3,0.2354715,0.04196562,30,30,"annot__2013_05_28_12_18_18.m4a","Annotation 3",20,"Yes"
