"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"482","S8640077",9745,"T02","16/10/13 12:21",100,80,100,80,100,100,100,80,80,60,100,100,NA,100,4294,"Yes"
"483","S8640137",9437,"T03","11/10/13 9:08",100,100,60,80,80,100,80,80,80,60,80,80,NA,80,4242,"Yes"
"484","S8640141",9279,"T13","7/10/13 21:33",100,100,100,100,100,100,100,80,80,100,100,80,NA,100,4407,"Yes"
"485","S8640151",9232,"T16","6/10/13 22:02",100,100,60,80,80,100,60,80,60,80,100,80,NA,80,4526,"Yes"
"487","S8640179",9199,"T01","3/10/13 12:01",80,100,80,100,100,100,100,80,100,100,80,100,NA,100,4431,"Yes"
"488","S8640203",9438,"T15","11/10/13 9:08",80,100,60,80,20,100,80,40,40,60,20,60,NA,60,4753,"Yes"
"489","S8640205",9468,"T13","6/10/13 22:02",80,100,100,80,100,100,80,80,80,80,100,100,NA,100,4207,"Yes"
"490","S8640217",9323,"T12","2/10/13 21:37",100,100,100,100,100,100,100,80,100,80,100,100,NA,100,4556,"Yes"
"491","S8640265",9694,"T05","5/10/13 13:01",100,100,80,100,80,100,100,80,60,80,80,100,NA,80,4404,"Yes"
"492","S8640315",8920,"T02","16/10/13 12:21",100,100,60,80,80,100,100,80,100,100,100,100,NA,100,4464,"Yes"
"493","S8640343",9704,"T05","5/10/13 13:01",60,80,60,20,80,100,80,80,60,80,60,100,NA,80,4346,"Yes"
"494","S8640371",8900,"T10","2/10/13 14:03",80,100,80,100,80,20,80,60,60,40,60,80,NA,60,4293,"Yes"
"495","S8640419",9398,"T15","9/10/13 16:24",100,100,100,80,100,100,100,80,80,80,100,80,NA,100,4376,"Yes"
"496","S8640439",10499,"T10","14/10/13 9:35",80,60,40,100,20,100,60,20,20,20,20,60,NA,40,4547,"Yes"
"497","S8640467",8962,"T10","2/10/13 14:03",80,100,100,100,100,100,80,80,80,80,100,80,NA,100,4361,"Yes"
"498","S8640475",9011,"T02","16/10/13 12:21",100,100,100,100,100,100,100,80,80,100,100,100,NA,100,4338,"Yes"
"499","S8640521",9372,"T06","21/10/13 12:05",100,80,100,80,80,100,80,100,100,100,100,100,NA,100,4724,"Yes"
"500","S8640567",9350,"T02","16/10/13 12:21",100,100,100,100,80,100,100,100,100,100,100,100,NA,100,4564,"Yes"
"501","S8640595",9222,"T10","6/10/13 22:02",80,100,100,100,20,100,100,60,40,20,20,60,NA,60,4498,"Yes"
"502","S8640601",9343,"T02","16/10/13 12:21",100,100,100,100,100,100,100,100,80,100,100,100,NA,100,4168,"Yes"
"503","S8640655",9164,"T07","5/10/13 13:01",80,100,80,80,80,100,100,80,80,80,100,80,NA,80,4747,"Yes"
"504","S8640659",8961,"T13","2/10/13 21:37",80,100,100,80,100,80,80,80,80,100,100,100,NA,100,4350,"Yes"
"505","S8640685",9037,"T14","3/10/13 11:59",100,100,80,80,80,100,100,100,80,80,100,100,NA,100,4278,"Yes"
"506","S8640705",9106,"T02","5/10/13 13:01",100,100,80,80,80,100,100,80,100,100,60,100,NA,100,4394,"Yes"
"507","S8640727",9735,"T12","2/10/13 21:37",80,100,100,80,100,100,100,80,80,80,100,80,NA,100,4397,"Yes"
"508","S8640775",8979,"T13","5/10/13 13:01",100,100,100,80,100,100,80,80,80,80,100,100,NA,100,4342,"Yes"
"509","S8640805",8991,"T06","18/10/13 8:08",100,80,60,80,80,80,60,100,100,80,100,100,NA,80,4735,"Yes"
"510","S8640807",9519,"T13","6/10/13 22:02",80,100,100,80,80,100,80,80,80,80,100,100,NA,100,4466,"Yes"
"511","S8640833",8983,"T02","5/10/13 13:01",100,100,100,100,100,100,60,80,80,100,60,100,NA,100,4479,"Yes"
"512","S8640851",9206,"T03","11/10/13 9:08",100,100,80,100,100,100,80,60,40,80,80,60,NA,80,4480,"Yes"
"513","S8640883",9189,"T02","16/10/13 12:21",100,100,100,80,100,100,100,100,100,100,100,100,NA,100,4653,"Yes"
"514","S8640915",9490,"T01","5/10/13 13:01",80,100,60,80,80,100,80,80,60,100,20,100,NA,80,4620,"Yes"
"515","S8640935",9760,"T07","6/10/13 22:02",80,100,100,100,100,60,80,80,80,100,100,100,NA,100,4344,"Yes"
"516","S8641051",9313,"T05","5/10/13 13:01",100,100,100,80,100,100,100,100,100,100,100,100,NA,100,4415,"Yes"
"517","S8641095",9812,"T16","15/10/13 17:31",80,100,80,80,80,100,60,80,80,100,100,80,NA,80,4427,"Yes"
"518","S8641097",9497,"T13","6/10/13 22:02",100,100,100,100,100,100,100,80,80,100,100,100,NA,100,4577,"Yes"
"519","S8641101",9271,"T06","18/10/13 8:08",100,100,80,100,100,100,100,100,100,100,100,100,NA,100,4741,"Yes"
"520","S8641103",9246,"T01","5/10/13 13:01",100,100,60,80,100,60,80,60,80,100,20,80,NA,80,4414,"Yes"
"521","S8641121",9121,"T02","16/10/13 12:21",100,100,60,100,100,100,100,60,60,60,40,80,NA,80,4579,"Yes"
"522","S8641167",8981,"T01","3/10/13 12:01",100,100,80,100,100,100,100,80,100,100,80,100,NA,100,4439,"Yes"
"523","S8641181",9455,"T02","16/10/13 12:21",100,100,80,100,100,100,100,80,100,80,60,100,NA,100,4544,"Yes"
"525","S8641269",8926,"T14","3/10/13 11:59",100,100,60,80,100,100,80,80,80,100,100,100,NA,100,4688,"Yes"
"526","S8641283",9549,"T17","15/10/13 17:26",100,100,100,100,100,100,100,80,100,100,100,100,NA,100,4409,"Yes"
"527","S8641297",8939,"T06","2/10/13 21:37",100,100,100,80,80,100,80,100,100,100,100,100,NA,100,4281,"Yes"
"528","S8641309",9094,"T16","6/10/13 22:02",100,100,80,100,100,100,60,80,80,100,100,80,NA,100,4627,"Yes"
"529","S8641375",8912,"T15","6/10/13 22:02",100,100,80,80,100,80,100,80,100,100,40,80,NA,100,4208,"Yes"
"530","S8641385",9069,"T06","2/10/13 21:37",100,100,100,80,80,100,80,80,80,60,60,100,NA,80,4602,"Yes"
"531","S8641389",9678,"T12","2/10/13 21:37",80,100,40,100,80,100,60,60,60,60,40,60,NA,60,4625,"Yes"
"532","S8641389",9344,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4625,"Yes"
"533","S8641445",9259,"T15","7/10/13 21:33",100,100,100,80,100,100,100,100,80,100,100,100,NA,100,4195,"Yes"
"534","S8641479",9845,"T04","16/10/13 12:21",100,100,80,100,100,100,100,80,80,60,60,80,NA,80,4323,"Yes"
"535","S8641533",9780,"T13","7/10/13 22:32",100,100,100,100,100,100,40,60,60,60,60,80,NA,80,4202,"Yes"
"536","S8641545",8931,"T13","5/10/13 13:01",100,100,100,100,100,100,100,80,80,100,100,100,NA,100,4183,"Yes"
"538","S8641623",8982,"T16","6/10/13 22:02",80,80,60,80,60,80,40,40,40,60,60,80,NA,60,4227,"Yes"
"539","S8641627",9116,"T01","3/10/13 12:01",80,100,100,100,100,100,100,80,80,100,100,100,NA,100,4704,"Yes"
"540","S8641665",8910,"T15","6/10/13 22:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4709,"Yes"
"541","S8641665",10696,"T15","23/10/13 0:28",100,100,100,100,80,100,60,80,80,80,100,80,NA,80,4709,"Yes"
