"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"1","S8013163",6091,"T02","19/08/13 16:10",100,100,80,100,80,100,80,60,100,80,100,100,NA,100,4095,"Yes"
"3","S8159757",6177,"T03","21/08/13 10:46",100,100,80,100,80,100,80,80,80,100,40,100,NA,80,4829,"Yes"
"4","S8199113",5614,"T03","12/08/13 11:28",60,100,80,80,80,100,100,80,80,80,100,100,NA,80,4026,"Yes"
"5","S8230417",7896,"T15","24/08/13 12:56",80,100,100,80,80,100,100,100,80,80,60,80,NA,100,4850,"Yes"
"6","S8230417",6351,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4850,"Yes"
"7","S8240447",6420,"T08","18/08/13 21:53",80,80,100,100,100,100,100,60,60,80,60,80,NA,80,3891,"Yes"
"8","S8243177",6387,"T16","18/08/13 21:53",100,100,80,100,80,80,60,60,60,40,100,80,NA,80,4843,"Yes"
"9","S8243861",5548,"T04","12/08/13 22:17",80,100,80,80,80,100,60,80,80,20,20,80,NA,80,4097,"Yes"
"10","S8265503",5853,"T03","16/08/13 11:53",100,100,80,80,20,20,20,60,60,60,40,40,NA,60,4813,"Yes"
"11","S8282075",6379,"T05","22/08/13 21:07",100,100,80,100,100,80,80,100,60,100,20,100,NA,80,4844,"Yes"
"12","S8283853",6227,"T10","21/08/13 14:16",100,100,80,100,80,80,20,80,60,20,60,80,NA,80,4961,"Yes"
"13","S8286113",6107,"T04","21/08/13 10:46",60,100,80,100,100,80,100,100,80,100,80,100,NA,100,4812,"Yes"
"14","S8286709",5670,"T05","12/08/13 11:28",100,80,80,80,80,100,20,80,100,80,20,100,NA,80,3892,"Yes"
"15","S8288085",5553,"T02","15/08/13 7:14",100,100,80,80,80,100,60,60,80,80,20,80,NA,80,4845,"Yes"
"16","S8350395",6367,"T08","18/08/13 21:53",80,80,60,80,100,100,100,80,100,80,20,100,NA,80,4828,"Yes"
"18","S8353095",5639,"T07","12/08/13 22:17",80,100,80,80,80,60,80,80,80,80,40,80,NA,80,4099,"Yes"
"19","S8375791",5540,"T03","13/08/13 6:38",100,60,40,80,80,100,80,80,60,60,40,80,NA,80,4100,"Yes"
"20","S8377019",6224,"T05","22/08/13 21:07",60,80,80,80,60,100,60,60,80,100,20,100,NA,80,3895,"Yes"
"21","S8378431",6220,"T12","15/08/13 21:21",100,100,100,80,100,100,100,80,80,80,100,80,NA,100,4856,"Yes"
"22","S8392669",6369,"T15","23/08/13 13:21",80,100,80,100,100,80,80,100,100,80,100,80,NA,100,2589,"Yes"
"23","S8395953",5969,"T04","21/08/13 10:46",100,80,80,80,80,80,100,80,100,80,100,100,NA,80,4857,"Yes"
"24","S8396315",5992,"T06","19/08/13 16:10",80,60,60,80,80,60,40,40,40,40,20,40,NA,60,4093,"Yes"
"25","S8401051",6164,"T11","18/08/13 21:53",80,100,80,100,80,100,80,80,60,60,80,80,NA,80,4040,"Yes"
"26","S8404103",6252,"T03","21/08/13 10:46",80,100,80,100,100,40,80,80,80,100,20,80,NA,80,4102,"Yes"
"27","S8405787",5749,"T01","9/08/13 14:14",100,100,60,80,100,100,100,80,100,100,100,100,NA,100,3896,"Yes"
"28","S8406211",5949,"T01","12/08/13 11:28",60,100,80,80,60,100,20,80,80,80,80,80,NA,80,4101,"Yes"
"29","S8407219",5869,"T11","15/08/13 21:22",80,40,60,80,40,60,60,60,40,40,20,40,NA,60,4044,"No login"
"30","S8409797",5748,"T07","12/08/13 22:17",80,100,80,80,80,80,60,80,80,60,40,80,NA,80,2492,"Yes"
"31","S8411331",6241,"T10","21/08/13 14:16",80,100,60,100,40,100,20,80,80,20,20,80,NA,60,1656,"No login"
"32","S8412417",7690,"T16","23/08/13 13:21",100,100,100,100,100,100,60,60,60,40,20,80,NA,80,4068,"Yes"
"33","S8419165",6401,"T08","18/08/13 21:53",100,80,40,40,100,100,100,60,80,60,100,100,NA,80,300,"Yes"
"34","S8434173",5544,"T17","13/08/13 17:33",100,80,100,80,100,100,80,100,100,100,100,100,NA,100,4050,"Yes"
"35","S8438811",5909,"T07","15/08/13 21:22",80,100,80,80,80,60,60,60,100,60,100,80,NA,80,4103,"Yes"
"36","S8459765",7682,"T10","22/08/13 14:43",100,100,60,40,20,80,60,40,20,20,20,80,NA,60,4104,"No login"
"37","S8461075",6187,"T02","22/08/13 21:07",100,100,100,100,80,100,60,100,100,80,40,80,NA,80,3928,"Yes"
"38","S8461197",6385,"T01","18/08/13 21:53",100,60,40,80,60,100,80,40,60,60,20,60,NA,60,4853,"No login"
"39","S8463437",5583,"T06","12/08/13 22:17",100,100,80,80,80,100,100,80,80,80,100,100,100,NA,3902,"Yes"
"40","S8466065",5879,"T07","15/08/13 21:22",80,100,80,80,80,60,60,60,60,60,40,80,NA,80,3312,"Yes"
"41","S8466901",6335,"T14","15/08/13 21:21",100,100,100,80,80,100,80,80,80,100,80,80,NA,80,3909,"Yes"
"42","S8467383",6213,"T10","21/08/13 7:12",100,100,60,40,80,100,80,80,80,40,60,80,NA,80,529,"Yes"
"43","S8467459",6201,"T06","21/08/13 14:16",100,100,80,100,100,80,60,100,80,80,100,100,NA,100,3908,"Yes"
"44","S8468001",6125,"T10","20/08/13 14:02",80,60,60,100,80,100,20,80,80,40,20,80,NA,60,4051,"Yes"
"45","S8468213",6248,"T13","15/08/13 21:21",100,100,100,100,100,100,100,100,100,80,100,100,NA,100,4817,"Yes"
"46","S8468599",5885,"T03","16/08/13 11:53",100,100,100,80,80,100,80,80,80,60,60,80,NA,80,3903,"Yes"
"47","S8468811",6309,"T11","18/08/13 21:53",80,80,80,100,60,100,60,60,60,60,60,80,NA,80,3904,"Yes"
"48","S8469393",6287,"T10","21/08/13 14:16",100,100,80,100,80,80,80,60,80,40,100,100,NA,80,3905,"Yes"
"50","S8470877",5851,"T08","15/08/13 21:20",100,80,40,100,100,100,80,60,80,80,20,80,NA,80,622,"Yes"
"51","S8471011",6337,"T14","15/08/13 21:21",80,100,80,80,100,100,80,80,80,100,80,100,NA,80,3910,"Yes"
"52","S8471349",6293,"T12","4/09/13 11:02",80,100,80,100,80,100,100,100,100,60,100,80,NA,100,575,"Yes"
"53","S8471467",6289,"T10","22/08/13 11:26",100,100,60,80,20,60,60,80,60,40,20,80,NA,60,2596,"Yes"
"54","S8473159",6195,"T06","21/08/13 14:16",100,100,60,80,80,100,60,80,80,60,20,80,80,NA,3906,"Yes"
"55","S8473175",5792,"T01","9/08/13 14:14",100,100,80,100,100,100,100,60,100,100,100,100,NA,100,1394,"Yes"
"56","S8473399",6027,"T03","15/08/13 19:01",80,100,80,80,80,100,20,80,60,60,60,80,NA,80,3899,"Yes"
"57","S8474767",5895,"T16","15/08/13 21:21",100,100,80,100,100,100,60,80,80,60,100,80,NA,80,3395,"Yes"
"58","S8475495",5743,"T04","12/08/13 22:17",60,100,100,100,80,80,80,100,100,60,60,100,NA,80,3901,"Yes"
"59","S8479313",5782,"T06","12/08/13 22:17",100,80,60,80,80,40,60,80,80,60,80,80,NA,80,4851,"Yes"
"60","S8492893",6444,"T02","19/08/13 16:10",80,60,60,80,100,100,60,60,80,60,60,100,NA,80,3911,"No login"
"61","S8496519",6300,"T12","15/08/13 21:21",100,100,80,100,100,80,100,100,100,80,100,80,NA,100,3913,"Yes"
"62","S8497727",6206,"T13","15/08/13 21:21",100,100,80,80,100,100,100,80,100,80,100,100,NA,100,4047,"Yes"
"63","S8500505",5764,"T01","9/08/13 14:14",80,100,80,100,80,100,100,60,100,80,20,80,NA,80,2731,"Yes"
"64","S8514657",5716,"T06","12/08/13 22:17",80,80,60,20,80,60,20,60,60,60,20,60,NA,60,3930,"Yes"
"65","S8516015",6345,"T15","23/08/13 13:21",80,100,100,80,80,100,80,80,80,60,60,80,NA,80,4025,"Yes"
"66","S8517901",6271,"T03","22/08/13 11:26",60,40,100,80,80,80,80,80,60,60,100,80,NA,80,3914,"Yes"
"67","S8524681",6219,"T03","22/08/13 11:26",80,100,80,100,80,80,80,80,80,80,40,100,NA,80,3918,"Yes"
"68","S8525121",6416,"T07","21/08/13 21:31",80,100,40,80,80,100,20,60,60,20,20,80,NA,60,3922,"Yes"
"69","S8525469",5613,"T12","9/08/13 11:57",100,100,80,80,80,80,60,80,100,80,100,80,NA,80,3919,"Yes"
"70","S8525581",5888,"T07","15/08/13 21:22",80,100,80,40,80,40,20,80,60,60,20,80,NA,60,886,"Yes"
"71","S8526001",6196,"T10","21/08/13 14:16",80,100,80,100,80,100,20,80,60,60,20,80,NA,80,3926,"Yes"
"72","S8526059",5651,"T12","9/08/13 11:57",100,100,60,80,100,100,100,100,80,60,60,80,NA,80,2616,"Yes"
"73","S8528555",5734,"T01","9/08/13 14:14",80,100,80,100,100,100,100,60,100,80,100,100,NA,100,3921,"Yes"
"75","S8529233",5534,"T01","12/08/13 11:28",80,100,80,80,100,100,100,80,100,100,60,80,NA,NA,3923,"Yes"
"76","S8531451",6211,"T10","22/08/13 11:26",100,100,60,100,80,100,20,80,60,40,20,80,NA,80,3917,"Yes"
"77","S8531527",6348,"T16","20/08/13 6:27",100,100,80,100,100,80,60,80,60,60,60,80,NA,80,889,"Yes"
"78","S8532831",5779,"T15","12/08/13 11:28",100,100,60,80,80,100,40,80,80,80,100,80,NA,80,3916,"Yes"
"79","S8533837",5520,"T17","13/08/13 17:33",80,100,60,80,80,100,60,80,80,100,60,100,NA,80,1103,"No login"
"80","S8533943",6403,"T15","23/08/13 13:21",80,100,80,80,100,80,60,80,80,60,60,80,NA,80,3925,"Yes"
"81","S8534541",5816,"T10","12/08/13 11:28",80,80,60,80,80,40,60,80,80,60,60,80,NA,80,4055,"Yes"
"82","S8535091",5702,"T10","13/08/13 6:38",80,100,40,80,40,100,60,60,60,20,60,60,NA,60,3927,"Yes"
"83","S8537437",8438,"T10","28/08/13 1:15",100,100,80,100,80,80,100,80,80,60,100,80,NA,80,4056,"Yes"
"84","S8542895",5780,"T07","12/08/13 22:17",100,80,80,80,100,80,100,80,80,80,100,80,NA,80,3932,"Yes"
"85","S8550483",5862,"T15","15/08/13 21:22",100,100,60,80,80,100,80,80,80,60,80,80,NA,80,1212,"Yes"
"86","S8550545",5752,"T07","13/08/13 6:38",100,80,80,80,100,80,100,80,100,100,20,60,NA,80,3929,"Yes"
"87","S8552367",5660,"T07","13/08/13 6:38",80,80,60,60,80,100,40,60,60,60,100,80,NA,80,3931,"Yes"
"88","S8564663",5870,"T16","15/08/13 21:21",100,100,60,100,100,100,100,80,60,60,20,80,NA,80,4028,"Yes"
"90","S8568395",6131,"T05","15/08/13 21:21",100,100,60,60,40,100,100,40,20,20,20,100,NA,60,4048,"Yes"
"91","S8568723",5849,"T03","16/08/13 11:53",80,80,100,100,60,100,100,80,80,80,100,80,NA,80,3940,"Yes"
"92","S8568767",6313,"T12","15/08/13 21:21",100,100,80,60,100,80,100,80,80,60,100,80,NA,80,3933,"Yes"
"93","S8568785",5698,"T17","13/08/13 17:33",100,100,100,80,100,100,80,100,100,100,40,100,NA,100,3941,"Yes"
"94","S8568841",5605,"T12","9/08/13 11:57",100,100,80,80,80,100,20,80,100,60,100,80,NA,80,3934,"Yes"
"95","S8568859",5728,"T15","12/08/13 22:17",80,100,60,80,80,80,80,80,60,60,40,80,NA,80,3942,"Yes"
"96","S8568873",5619,"T15","12/08/13 22:17",100,100,80,100,80,80,80,80,80,40,100,80,NA,80,3935,"Yes"
"97","S8568895",5727,"T02","15/08/13 7:14",100,100,80,80,80,100,60,100,80,80,40,100,NA,80,3943,"Yes"
"98","S8568937",5612,"T02","15/08/13 7:14",80,100,60,80,80,100,60,80,80,60,40,80,NA,80,3936,"Yes"
"99","S8568961",6054,"T17","20/08/13 14:02",80,80,60,80,100,100,80,100,100,80,40,100,NA,80,3937,"Yes"
"100","S8568967",6247,"T12","15/08/13 21:21",100,100,100,80,100,100,100,100,100,80,100,80,NA,100,3944,"Yes"
"101","S8568989",5871,"T07","15/08/13 21:21",80,100,80,40,80,60,20,40,60,40,60,80,NA,60,4105,"Yes"
"103","S8569297",5735,"T01","9/08/13 14:14",100,80,60,80,60,100,100,40,100,80,20,80,NA,80,3938,"Yes"
"105","S8569389",6339,"T01","15/08/13 21:21",100,100,60,80,100,80,100,80,100,80,60,80,NA,80,3939,"Yes"
"106","S8569461",6092,"T02","19/08/13 16:10",100,100,60,100,100,100,60,80,100,60,60,100,NA,80,3946,"Yes"
"107","S8569489",5547,"T03","15/08/13 7:14",100,100,80,100,100,100,60,100,100,80,60,100,NA,100,3947,"Yes"
"108","S8569507",5539,"T02","15/08/13 7:14",100,100,60,100,80,100,60,60,100,100,60,100,NA,80,3948,"Yes"
"109","S8569771",6088,"T02","20/08/13 6:27",80,100,40,100,80,100,60,80,80,80,80,60,NA,80,3951,"Yes"
"111","S8570275",5696,"T02","15/08/13 7:14",100,100,60,100,100,100,60,60,80,100,60,100,NA,80,3950,"Yes"
"112","S8571247",5836,"T11","15/08/13 21:22",100,40,40,40,80,80,80,80,80,80,100,80,NA,80,3953,"Yes"
"113","S8571599",6307,"T06","22/08/13 14:43",100,100,60,80,80,100,60,100,100,80,100,100,NA,80,3954,"Yes"
"114","S8571609",5621,"T10","13/08/13 6:38",100,80,80,100,80,80,40,80,80,20,20,80,NA,80,3955,"Yes"
