"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"1","S8024919",2669,"uqadekke","25/03/13 20:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248,"Yes"
"2","S8110327",1711,"T18","21/03/13 11:02",40,100,60,60,80,100,80,60,100,80,60,100,NA,80,2781,"Yes"
"3","S8112239",2271,"T25","27/03/13 13:30",40,100,60,100,80,100,80,80,80,80,100,100,NA,80,3385,"Yes"
"5","S8233701",1755,"T15","18/03/13 15:55",80,80,80,80,100,100,20,100,100,80,80,100,NA,80,2579,"Yes"
"6","S8234819",2261,"T03","25/03/13 5:41",100,60,100,80,20,40,100,100,80,80,100,100,NA,80,2782,"Yes"
"7","S8236749",1929,"T09","22/03/13 12:53",100,100,80,100,100,100,60,80,100,100,20,100,NA,100,2580,"Yes"
"8","S8243911",1934,"T10","22/03/13 7:20",100,100,40,100,100,100,60,40,40,20,20,40,NA,NA,2753,"Yes"
"9","S8244607",2026,"T02","26/03/13 10:56",80,100,40,100,80,100,40,80,80,60,60,80,NA,80,2744,"Yes"
"11","S8287253",1707,"T27","19/03/13 23:49",80,100,80,80,60,100,60,60,60,60,60,60,NA,60,2581,"Yes"
"12","S8345077",1793,"T01","18/03/13 9:39",80,60,40,NA,20,80,40,80,100,40,20,80,NA,60,2582,"Yes"
"13","S8349949",5454,"T19","4/06/13 9:01",80,100,80,80,80,100,80,80,80,80,20,80,NA,80,2583,"Yes"
"14","S8352301",1932,"T19","19/03/13 16:01",40,60,60,80,60,80,60,60,40,40,20,60,NA,60,3354,"No login"
"15","S8392669",2249,"T26","24/03/13 6:19",100,100,80,100,80,80,60,60,60,60,20,60,NA,80,2589,"Yes"
"16","S8393733",1973,"T26","24/03/13 6:19",80,100,100,NA,100,80,100,80,80,80,20,100,NA,80,2490,"Yes"
