Submission ID,Marking_Time (seconds),Text (%),Drawing (%),Recording (%)
9159,251,67,0,33
8840,1103,68,26,5
8841,1076,47,53,0
8842,1494,67,33,0
8843,20,100,0,0
8844,1468,74,24,3
8845,2013,89,11,0
8846,783,56,44,0
8847,1082,83,8,8
8848,32,0,0,100
8849,713,86,14,0
8850,1998,25,65,10
8851,1058,58,42,0
8852,1633,74,26,0
8853,352,0,0,100
8854,1028,0,65,35
8855,1018,0,0,100
8856,2091,67,26,7
8857,596,36,64,0
8858,236,56,11,33
8859,3051,67,25,8
8860,275,0,0,100
8861,341,100,0,0
8862,469,0,0,100
8863,646,100,0,0
8864,189,0,0,100
8865,328,91,9,0
8866,382,0,0,100
8867,485,83,17,0
8868,301,100,0,0
8869,367,80,0,20
8870,641,50,21,29
8871,1328,100,0,0
8872,534,63,38,0
8873,885,0,50,50
8874,218,0,0,100
8875,592,67,33,0
8876,580,83,16,0
8877,675,71,14,14
8878,430,33,0,67
8879,629,73,27,0
8880,1535,86,14,0
8881,432,0,71,29
8882,489,80,10,10
8883,753,0,71,29
8884,0,100,0,0
8885,548,100,0,0
8886,1020,100,0,0
8887,1638,65,24,12
8888,1580,100,0,0
8889,6052,50,44,6
8890,1319,67,28,6
8891,859,56,17,28
8892,1621,86,14,0
8893,352,90,0,10
8894,0,0,0,0
8895,41,86,14,0
8896,2338,76,22,3
8897,2082,71,25,4
8898,36,100,0,0
8899,394,82,18,0
8900,536,88,13,0
8901,256,100,0,0
8902,447,100,0,0
8903,457,90,0,10
8904,1570,38,38,23
8905,28,100,0,0
8906,609,73,27,0
8907,871,88,13,0
8908,2099,88,13,0
8909,887,67,33,0
8910,3,0,0,0
8911,513,11,0,89
8912,221,14,0,86
8913,210,57,0,43
8914,194,0,0,100
8915,2074,0,65,35
8916,735,25,69,6
8917,447,100,0,0
8918,448,100,0,0
8919,330,82,18,0
8920,661,71,14,14
8921,1370,78,22,0
8922,338,0,0,100
8923,144,67,30,4
8924,257,0,0,100
8925,406,75,8,17
8926,417,92,8,0
8927,312,11,0,89
8928,1361,87,13,0
8929,4146,42,55,3
8930,1141,89,11,0
8931,633,55,45,0
8932,933,75,25,0
8933,230,0,0,100
8934,390,88,13,0
8935,533,0,0,100
8936,550,100,0,0
8937,796,100,0,0
8938,457,67,33,0
8939,354,100,0,0
8940,468,77,23,0
8941,749,67,33,0
8942,684,83,17,0
8943,660,0,0,100
8944,882,10,0,90
8945,484,20,0,80
8946,1686,7,60,33
8947,1104,71,30,0
8948,3699,56,33,11
8949,243,100,0,0
8950,224,33,0,67
8951,2775,48,44,8
8952,425,100,0,0
8953,369,0,0,100
8954,312,56,0,44
8955,999,100,0,0
8956,514,100,0,0
8957,847,71,14,14
8958,691,77,23,0
8959,140,0,0,100
8960,423,100,0,0
8961,3642,67,33,0
8962,727,64,36,0
8963,2276,64,36,0
8964,2454,48,44,8
8965,305,0,0,100
8966,63,18,82,0
8967,265,27,0,73
8968,777,100,0,0
8969,629,50,29,21
8970,180,33,0,67
8971,535,29,0,71
8972,479,75,20,5
8973,281,33,0,67
8974,233,100,0,0
8975,353,0,0,100
8976,654,46,23,31
8977,234,90,10,0
8978,358,80,20,0
8979,993,75,25,0
8980,661,79,21,0
8981,772,61,39,0
8982,1140,69,31,0
8983,603,92,8,0
8984,1953,82,19,0
8985,561,10,20,70
8986,253,100,0,0
8987,346,50,25,25
8988,451,0,0,100
8989,2133,68,29,3
8990,598,0,50,50
8991,1536,100,0,0
8992,880,100,0,0
8993,569,85,15,0
8994,730,79,21,0
8995,537,79,21,0
8996,286,0,0,100
8997,704,92,8,0
8998,836,44,56,0
8999,1027,53,47,0
9000,249,93,7,0
9001,728,62,8,31
9002,810,100,0,0
9003,379,92,8,0
9004,499,67,33,0
9005,38,79,21,0
9006,879,93,7,0
9007,468,80,20,0
9008,231,0,0,100
9009,607,0,0,100
9010,333,100,0,0
9011,644,80,0,20
9012,819,67,33,0
9013,674,63,38,0
9014,538,64,9,27
9015,593,71,14,14
9016,491,0,0,100
9017,2608,100,0,0
9018,404,80,10,10
9019,848,77,23,0
9020,1078,56,44,0
9021,796,100,0,0
9022,698,100,0,0
9023,448,0,0,100
9024,197,50,0,50
9025,490,93,7,0
9026,725,86,14,0
9027,38,100,0,0
9028,4775,50,48,2
9029,207,0,0,100
9030,958,81,19,0
9031,167,9,0,91
9032,880,55,42,3
9033,709,75,25,0
9034,421,17,8,75
9035,1069,86,14,0
9036,1058,74,26,0
9037,1217,83,17,0
9038,3318,39,55,6
9039,10,100,0,0
9040,485,44,0,56
9041,773,69,30,0
9042,569,0,0,100
9043,414,67,34,0
9044,250,62,31,8
9045,798,0,50,50
9046,127,50,50,0
9047,778,79,21,0
9048,355,60,40,0
9049,360,40,20,40
9050,2572,84,16,0
9051,250,0,0,100
9052,554,100,0,0
9053,21,55,45,0
9054,4666,68,28,5
9055,666,75,25,0
9056,547,75,8,17
