"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"1","S8110327",2383,"T18","16/04/13 7:28",100,100,60,80,80,100,80,80,100,80,60,100,NA,80,2781,"Yes"
"2","S8112239",2968,"T25","1/05/13 13:39",100,100,80,80,100,100,100,80,80,100,100,100,NA,100,3385,"Yes"
"4","S8233701",2728,"T15","19/04/13 10:35",80,100,80,100,100,80,80,80,80,100,100,80,NA,80,2579,"Yes"
"5","S8234819",2948,"T10","29/04/13 14:33",100,80,60,40,80,100,80,100,80,40,60,80,NA,80,2782,"Yes"
"6","S8236749",3122,"T09","24/04/13 11:46",100,100,80,100,100,100,100,100,80,80,100,100,NA,100,2580,"Yes"
"7","S8243911",2735,"T10","26/04/13 6:50",100,100,80,100,100,100,80,80,80,40,60,80,NA,80,2753,"Yes"
"8","S8244607",2888,"T02","29/04/13 6:02",100,100,80,100,80,100,80,80,100,60,60,80,NA,80,2744,"Yes"
"10","S8287253",2791,"T05","25/04/13 21:34",100,100,80,80,80,100,100,40,100,60,40,100,NA,80,2581,"Yes"
"11","S8345077",2523,"T01","20/04/13 16:28",80,100,60,100,60,100,60,60,80,80,40,80,NA,80,2582,"Yes"
"12","S8349949",2733,"T19","26/04/13 6:48",40,40,40,80,60,60,60,60,60,60,20,60,NA,60,2583,"Yes"
"13","S8392669",2784,"T21","25/04/13 21:34",80,100,80,100,80,100,80,80,100,80,60,100,NA,80,2589,"Yes"
"14","S8393733",2873,"T26","18/04/13 14:54",80,100,100,80,80,80,40,60,60,60,20,60,NA,60,2490,"Yes"
"15","S8402295",2741,"T15","20/04/13 7:25",100,100,80,100,80,100,80,80,80,60,40,80,NA,80,463,"Yes"
"16","S8408443",2690,"T10","29/04/13 6:02",100,100,60,60,80,40,80,100,80,100,100,100,NA,80,2588,"Yes"
"17","S8409235",2775,"T26","18/04/13 14:54",100,100,100,100,80,100,40,60,80,60,60,80,NA,80,2586,"Yes"
"19","S8412939",2307,"T21","19/04/13 10:35",60,80,60,80,80,80,40,60,60,60,60,100,NA,60,2584,"Yes"
"20","S8419401",2400,"T05","17/04/13 22:31",100,100,80,80,80,100,100,80,80,80,60,100,NA,80,2783,"Yes"
"21","S8421487",2786,"T21","25/04/13 21:34",80,100,80,80,100,100,80,80,100,100,100,100,NA,100,2720,"Yes"
"22","S8440585",2429,"T01","20/04/13 16:28",100,100,60,80,100,40,80,100,80,80,100,100,NA,80,3326,"Yes"
"23","S8465969",5497,"T15","4/06/13 9:00",100,100,100,100,100,100,100,80,60,100,80,80,NA,100,2599,"Yes"
"24","S8466065",2766,"T19","26/04/13 6:48",60,100,60,80,80,60,60,60,60,60,20,60,NA,60,3312,"Yes"
"25","S8469311",2980,"T23","1/05/13 10:27",80,100,60,100,40,40,60,60,60,20,40,60,NA,60,2712,"Yes"
"26","S8469617",2989,"T10","1/05/13 10:27",100,60,60,40,80,100,100,80,80,60,40,80,NA,80,2597,"Yes"
"27","S8470217",2465,"T17","18/04/13 9:59",80,100,100,100,100,80,100,80,100,100,100,100,NA,100,2598,"Yes"
"29","S8472529",2639,"T02","18/04/13 9:17",100,100,60,80,100,40,60,80,80,60,100,80,NA,80,2591,"Yes"
"30","S8474623",2767,"T12","15/04/13 12:27",80,100,100,80,80,100,100,100,80,80,100,100,NA,100,1526,"Yes"
"31","S8514165",2806,"T05","19/04/13 10:35",100,100,40,100,60,100,80,40,60,60,100,80,NA,80,2216,"Yes"
"32","S8518775",2489,"T26","18/04/13 14:54",80,80,80,100,80,100,60,80,80,80,100,100,NA,80,2600,"Yes"
"33","S8522707",2386,"T03","15/04/13 12:29",100,100,80,80,80,40,80,80,60,60,100,80,NA,80,2619,"Yes"
"34","S8522735",2652,"T05","19/04/13 10:30",80,100,60,80,80,80,20,60,80,100,80,100,NA,80,2755,"Yes"
"35","S8523451",2883,"T15","24/04/13 9:56",100,100,80,100,100,100,80,80,100,80,100,100,NA,100,2607,"Yes"
"36","S8523551",2696,"T01","20/04/13 16:28",80,100,80,100,80,60,60,60,100,100,20,100,NA,80,2609,"Yes"
"37","S8524785",2385,"T05","17/04/13 22:31",60,100,60,80,100,100,60,60,80,80,20,100,NA,80,2608,"Yes"
"38","S8525405",2409,"T17","18/04/13 9:59",80,100,60,80,100,80,80,100,100,100,100,100,NA,100,2610,"Yes"
"39","S8526409",2954,"T25","1/05/13 13:39",80,100,80,80,100,100,40,80,80,80,40,80,NA,80,2602,"Yes"
"40","S8527007",3099,"T10","2/05/13 0:07",100,100,80,100,80,80,60,80,80,60,20,80,NA,80,2785,"Yes"
"41","S8527483",2843,"T26","18/04/13 14:54",100,100,40,60,60,100,80,80,100,100,100,100,NA,80,2612,"Yes"
"42","S8528077",2987,"T23","24/04/13 9:57",40,100,80,20,80,100,60,100,80,100,100,100,NA,80,2603,"Yes"
"43","S8529073",2317,"T01","21/04/13 9:20",80,100,60,100,60,80,60,60,100,80,20,60,NA,80,2618,"Yes"
"44","S8531393",2562,"T03","11/04/13 18:22",60,100,80,80,100,80,80,100,100,100,100,100,NA,100,1559,"Yes"
"45","S8531397",2568,"T23","18/04/13 14:54",80,80,60,80,80,80,60,80,80,100,100,80,NA,80,2617,"Yes"
"46","S8533063",2740,"T10","26/04/13 6:50",80,100,80,100,80,100,100,60,40,40,100,80,NA,80,2614,"Yes"
"47","S8533845",2602,"T02","18/04/13 9:17",100,100,60,80,80,100,100,80,100,60,100,80,NA,80,2722,"Yes"
"48","S8534169",2739,"T05","25/04/13 21:34",100,80,60,40,100,100,100,100,80,80,100,100,NA,80,2606,"Yes"
"49","S8534399",2745,"T10","25/04/13 21:34",100,100,80,100,80,20,100,80,80,100,60,80,NA,80,2611,"Yes"
"50","S8534493",2874,"T19","26/04/13 6:48",80,100,80,100,60,80,80,60,80,80,100,60,NA,80,2605,"Yes"
"51","S8538277",2687,"T23","29/04/13 6:02",100,100,40,20,100,80,80,100,80,60,100,100,NA,80,2620,"Yes"
"52","S8546995",2423,"T24","15/04/13 12:29",80,100,100,100,100,80,100,80,80,100,100,100,NA,100,2622,"Yes"
"53","S8550039",2633,"T01","20/04/13 16:28",100,100,60,100,80,100,60,60,100,60,40,60,NA,80,2623,"Yes"
"54","S8550417",2581,"T23","24/04/13 9:57",100,100,100,100,80,80,80,80,100,60,100,100,NA,100,2625,"Yes"
"55","S8550529",2877,"T19","26/04/13 6:48",60,100,60,80,60,80,60,60,60,60,60,60,NA,60,2624,"Yes"
"56","S8552401",2906,"T01","20/04/13 16:28",80,60,60,100,80,60,60,60,80,80,100,80,NA,80,1224,"Yes"
"57","S8559519",2763,"T19","26/04/13 6:48",100,100,80,80,80,100,80,80,60,60,60,60,NA,80,2626,"Yes"
"58","S8562839",2998,"T23","1/05/13 10:27",100,100,80,80,100,60,80,80,80,60,80,80,NA,80,2728,"Yes"
