Submission ID,Marking_Time (seconds),Text (%),Drawing (%),Recording (%)
4272,757,77,23,0
4268,979,85,15,0
4266,343,0,0,100
4267,916,77,23,0
4265,742,34,50,16
4269,251,0,0,100
4271,200,0,0,100
4270,1432,86,14,0
3654,617,0,0,100
3655,1320,56,0,44
3656,504,89,11,0
3657,668,78,0,22
3658,363,0,0,100
3659,1029,8,23,69
3660,762,95,5,0
3661,631,0,0,100
3662,1174,15,8,77
3663,707,0,0,100
3664,283,0,0,100
3665,1086,0,6,94
3666,1052,0,0,100
3667,1409,0,47,53
3668,589,20,0,80
3669,1227,0,5,95
3670,948,44,0,56
3671,1513,0,41,59
3672,939,7,14,79
3673,432,0,0,100
3674,996,6,23,72
3675,551,16,63,21
3676,673,39,22,39
3677,1803,37,26,37
3678,482,0,0,100
3679,640,68,0,32
3680,1150,0,33,67
3681,988,0,17,83
3682,1052,75,6,19
3683,419,0,0,100
3684,2532,40,20,40
3685,346,88,12,0
3686,242,0,0,100
3687,936,73,0,27
3688,240,33,0,67
3689,1003,0,13,88
3690,971,77,23,0
3691,728,22,11,67
3692,714,83,0,17
3693,454,0,0,100
3694,483,22,11,67
3695,1653,9,36,55
3696,853,0,0,100
3697,591,22,0,78
3698,575,100,0,0
3699,1064,56,6,38
3700,364,0,0,100
3701,562,0,0,100
3702,2321,15,54,30
3703,1175,69,0,31
3704,1659,61,35,4
3705,284,0,0,100
3706,1051,79,21,0
3707,431,0,0,100
3708,616,29,30,41
3709,428,0,0,100
3710,1183,75,0,25
3711,151,0,0,100
3712,1999,0,23,77
3713,194,0,0,100
3714,268,0,0,100
3715,1111,80,20,0
3716,1339,22,26,52
3717,621,0,0,100
3718,310,0,0,100
3719,1001,0,6,94
3720,1062,80,20,0
3721,450,33,0,67
3722,833,0,0,100
3723,1947,80,20,0
3724,418,0,0,100
3725,1582,23,0,77
3726,1171,14,14,71
3727,1198,9,0,91
3728,1133,60,40,0
3729,295,0,0,100
3730,2462,78,22,0
3731,1377,63,38,0
3732,303,0,0,100
3733,1522,0,11,89
3734,1365,58,0,42
3735,952,0,0,100
3736,319,0,33,67
3737,365,0,0,100
3738,422,76,24,0
3739,757,67,0,33
3740,677,64,36,0
3741,694,50,0,50
3742,1106,0,17,83
3743,1674,75,25,0
3744,1190,0,26,74
3745,1560,8,44,48
3746,356,0,0,100
3747,419,33,40,27
3748,865,43,0,57
3749,357,0,0,100
3750,605,89,11,0
3751,1115,29,43,29
3752,499,0,0,100
3753,659,0,0,100
3754,1371,8,8,83
3755,758,60,0,40
3756,664,83,17,0
3757,1529,80,0,20
3758,788,0,11,89
3759,2328,93,7,0
3760,789,53,0,47
3761,2172,43,43,13
3762,614,0,0,100
3763,909,43,0,57
3764,1442,0,33,67
3765,302,0,0,100
3766,801,54,0,46
3767,2174,35,44,22
3768,714,0,0,100
3769,900,71,6,24
3770,278,0,0,100
3771,476,0,0,100
3772,683,0,0,100
3773,1318,0,0,100
3774,371,0,0,100
3775,1331,55,0,45
3776,274,0,0,100
3777,876,0,0,100
3778,324,0,0,100
3779,1858,11,37,53
3780,326,0,0,100
3781,834,83,17,0
3782,704,36,57,7
3783,1396,57,0,43
3784,1430,41,33,26
3785,489,0,0,100
3786,585,0,0,100
3787,902,14,62,24
3788,890,0,0,100
3789,975,67,0,33
3790,239,0,0,100
3791,275,0,0,100
3792,493,24,38,38
3793,3012,4,42,54
3794,1010,14,0,86
3795,1310,17,0,83
3796,777,0,0,100
3797,1696,11,33,56
3798,337,38,0,63
3799,361,0,0,100
3800,571,0,20,80
3801,621,67,0,33
3802,881,47,6,47
3803,1044,20,10,70
3804,2198,55,18,27
3805,898,0,21,79
3806,1414,93,7,0
3807,657,62,0,38
3808,550,29,0,71
3809,299,0,13,88
3810,248,0,0,100
3811,338,0,0,100
3812,1187,6,6,88
3813,837,67,8,25
3814,807,30,20,50
3815,383,100,0,0
3816,419,68,32,0
3817,632,62,38,0
3818,1234,67,13,20
3819,2943,33,29,38
3820,1319,68,0,32
3821,422,82,18,0
3822,1186,41,42,18
3823,506,7,7,86
3824,30,88,12,0
3825,1661,0,0,100
3826,338,0,0,100
3827,620,56,0,44
3828,1735,0,0,100
3829,1416,7,13,80
3830,1433,50,0,50
3831,1138,27,32,41
3832,1858,0,24,76
3833,668,53,0,47
3834,440,0,0,100
3835,415,20,20,60
3836,577,0,0,100
3837,891,5,26,68
3838,471,0,0,100
3839,2178,6,13,81
3840,230,0,0,100
3841,690,88,13,0
3842,539,0,0,100
3843,212,0,0,100
3844,382,0,0,100
3845,1457,10,10,80
3846,579,0,0,100
3847,716,25,0,75
3848,1251,0,10,90
3849,1309,13,0,88
3850,1085,0,8,92
3851,446,0,0,100
