"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"1","S8110327",4484,"T18","28/05/13 8:37",100,100,100,80,80,100,100,80,80,100,20,100,NA,100,2781,"Yes"
"2","S8112239",5331,"T25","4/06/13 8:19",100,100,80,100,80,100,100,80,80,100,100,80,NA,100,3385,"Yes"
"3","S8233701",4687,"T15","26/05/13 22:47",100,100,80,80,80,100,100,80,80,100,100,80,NA,100,2579,"Yes"
"4","S8234819",5359,"T10","1/06/13 18:17",100,100,100,100,80,100,100,60,60,40,100,80,NA,80,2782,"Yes"
"5","S8243911",4654,"T10","26/05/13 22:47",100,100,60,100,80,100,80,60,60,60,100,100,NA,80,2753,"Yes"
"6","S8244607",5054,"T02","29/05/13 22:59",100,100,60,80,80,80,60,80,80,100,20,60,NA,80,2744,"Yes"
"8","S8287253",4625,"T05","30/05/13 16:27",100,100,60,60,100,100,100,100,100,100,100,100,NA,100,2581,"Yes"
"9","S8345077",4602,"T01","30/05/13 9:57",100,100,100,100,100,100,80,100,100,100,100,80,NA,100,2582,"Yes"
"10","S8349949",5484,"T19","2/06/13 22:15",80,100,80,80,80,80,80,80,80,80,60,80,NA,80,2583,"Yes"
"11","S8392669",4616,"T21","26/05/13 22:47",100,100,80,80,100,80,80,80,80,100,100,100,NA,100,2589,"Yes"
"12","S8393733",5063,"T23","2/06/13 22:15",100,100,80,40,100,20,40,60,60,60,100,100,NA,80,2490,"Yes"
"13","S8402295",5480,"T15","1/06/13 18:17",80,100,80,100,100,100,100,80,80,40,80,80,NA,80,463,"Yes"
"14","S8408443",5230,"T10","29/05/13 22:59",100,100,100,100,100,100,100,80,100,60,100,100,NA,100,2588,"Yes"
"15","S8409235",4512,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2586,"Yes"
"16","S8409235",5508,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2586,"Yes"
"19","S8412939",4447,"T21","23/05/13 12:13",100,100,100,100,100,100,80,60,80,100,100,100,NA,100,2584,"Yes"
"20","S8421487",4738,"T21","26/05/13 22:47",100,100,80,100,100,100,100,80,80,100,100,100,NA,100,2720,"Yes"
"21","S8440585",4789,"T01","30/05/13 9:57",100,100,80,80,20,60,80,100,80,100,100,100,NA,80,3326,"Yes"
"22","S8465969",5475,"T15","1/06/13 18:17",100,100,100,100,100,100,100,80,60,80,20,80,NA,NA,2599,"Yes"
"23","S8466065",4724,"T19","28/05/13 8:37",80,100,80,80,80,100,80,60,60,60,20,80,NA,80,3312,"Yes"
"24","S8469311",5311,"T23","2/06/13 22:15",100,100,60,20,40,100,60,60,60,100,100,80,NA,80,2712,"Yes"
"25","S8469617",5296,"T10","1/06/13 18:17",100,100,100,100,100,80,100,80,80,60,100,80,NA,100,2597,"Yes"
"26","S8470217",4450,"T17","30/05/13 16:27",100,100,100,100,100,100,100,80,100,100,100,100,NA,100,2598,"Yes"
"28","S8471467",5313,"T05","1/06/13 18:17",100,100,60,80,80,100,100,80,60,60,80,100,NA,80,2596,"Yes"
"29","S8472529",4476,"T02","28/05/13 8:37",100,100,100,100,100,100,100,80,100,100,60,100,NA,100,2591,"Yes"
"30","S8474623",4435,"T12","28/05/13 8:37",100,100,80,100,80,100,80,80,80,60,100,100,NA,80,1526,"Yes"
"31","S8514165",4565,"T05","30/05/13 16:27",100,80,60,40,100,100,100,60,80,60,60,100,NA,80,2216,"Yes"
"32","S8518775",4661,"T25","28/05/13 8:37",80,100,100,100,100,100,80,80,100,100,100,100,NA,100,2600,"Yes"
"33","S8522707",4701,"T03","28/05/13 8:37",100,100,80,80,100,100,80,80,80,80,40,100,NA,80,2619,"Yes"
"34","S8522735",4473,"T05","30/05/13 16:27",100,100,80,80,100,100,100,80,100,80,100,100,NA,100,2755,"Yes"
"35","S8523451",5162,"T15","29/05/13 22:59",100,100,100,100,60,80,80,100,100,100,100,100,NA,100,2607,"Yes"
"36","S8523551",5295,"T01","30/05/13 16:27",100,100,100,100,100,100,100,80,100,100,60,60,NA,100,2609,"Yes"
"37","S8524785",4771,"T05","30/05/13 16:27",100,100,100,80,100,100,100,100,80,80,100,100,NA,100,2608,"Yes"
"38","S8525405",4428,"T17","30/05/13 16:27",80,100,100,80,100,80,80,100,100,100,60,100,NA,100,2610,"Yes"
"39","S8526409",5340,"T25","4/06/13 8:19",100,100,60,100,100,80,80,60,80,80,100,80,NA,80,2602,"Yes"
