"","EventID","SubmissionID","StudentID","Consent","MarkerID","Audio.Annot","Log.Type","Interaction","Date","State","Pages","Start","End","Page.Size","msec.B4.scroll","AnnotID","From.time","Current.time","Duration","Filename"
"1",201912,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,14.9,94.6,6,1861,NA,NA,NA,NA,""
"2",201911,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,0.1,14,6,7796,NA,NA,NA,NA,""
"3",201907,3301,"S8285971","Yes","T19",11,2,"Automatic","30/04/13 6:43","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"4",201908,3301,"S8285971","Yes","T19",11,2,"Annotations","30/04/13 6:43","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"5",201909,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,0,0,10,12138,NA,NA,NA,NA,""
"6",201910,3301,"S8285971","Yes","T19",11,2,"Details","30/04/13 6:43","",7,NA,NA,NA,NA,NA,NA,NA,NA,""
"7",201926,3301,"S8285971","Yes","T19",11,2,"Automatic","30/04/13 6:44","closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"8",201916,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,78.9,73.7,6,968,NA,NA,NA,NA,""
"9",201913,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,94.6,89.3,6,8137,NA,NA,NA,NA,""
"10",201914,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,89.3,84.1,6,1310,NA,NA,NA,NA,""
"11",201915,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,83.9,78.9,6,830,NA,NA,NA,NA,""
"12",201922,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,58,52.8,6,5046,NA,NA,NA,NA,""
"13",201917,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,73.4,68.5,6,754,NA,NA,NA,NA,""
"14",201918,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,68.4,63.2,6,1276,NA,NA,NA,NA,""
"15",201919,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,63.2,58,6,3683,NA,NA,NA,NA,""
"16",201923,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:43","",NA,52.7,47.6,6,721,NA,NA,NA,NA,""
"17",201924,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:44","",NA,48,94.6,6,4892,NA,NA,NA,NA,""
"18",201925,3301,"S8285971","Yes","T19",11,2,"Scroll","30/04/13 6:44","",NA,48,100,Inf,12516,NA,NA,NA,NA,""
"19",180010,3403,"S8467537","Yes","T30",7,2,"Scroll","29/04/13 14:57","",NA,96.5,93.4,3,1880,NA,NA,NA,NA,""
"20",180012,3403,"S8467537","Yes","T30",7,2,"Scroll","29/04/13 14:57","",NA,93.7,97.1,3,1053,NA,NA,NA,NA,""
"21",180018,3403,"S8467537","Yes","T30",7,2,"Scroll","29/04/13 14:57","",NA,96.8,94.9,3,10794,NA,NA,NA,NA,""
"22",180066,3403,"S8467537","Yes","T30",7,2,"Scroll","29/04/13 14:58","",NA,69.7,67.9,3,3334,NA,NA,NA,NA,""
"23",180067,3403,"S8467537","Yes","T30",7,2,"Scroll","29/04/13 14:58","",NA,67.6,63.6,3,5314,NA,NA,NA,NA,""
