"","EventID","SubmissionID","StudentID","Consent","MarkerID","Audio.Annot","Log.Type","Interaction","Date","State","Pages","Start","End","Page.Size","msec.B4.scroll","AnnotID","From.time","Current.time","Duration","Filename"
"1",510378,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:06","",NA,17.3,17.3,5,1956,NA,NA,NA,NA,""
"2",510379,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:06","",NA,17.6,19.8,5,4324,NA,NA,NA,NA,""
"3",510381,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:07","",NA,21.1,22.2,5,844,NA,NA,NA,NA,""
"4",510382,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:07","",NA,21.9,20.6,5,954,NA,NA,NA,NA,""
"5",510383,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:07","",NA,20.4,7.8,5,3594,NA,NA,NA,NA,""
"6",510380,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:06","",NA,20.3,20.9,5,1547,NA,NA,NA,NA,""
"7",510385,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:07","",NA,9.8,10.2,5,2041,NA,NA,NA,NA,""
"8",510409,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:37","",NA,10.4,21.4,5,1810872,NA,NA,NA,NA,""
"9",510410,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:37","",NA,21.7,22,5,627,NA,NA,NA,NA,""
"10",510384,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:07","",NA,8,9.4,5,806,NA,NA,NA,NA,""
"11",510412,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:38","",NA,22.2,28,5,86379,NA,NA,NA,NA,""
"12",510413,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:38","",NA,28.1,28.7,5,1540,NA,NA,NA,NA,""
"13",510414,4907,"S8285971","Yes","T19",9,2,"Audio","2/09/13 10:38","finished",NA,NA,NA,NA,NA,8,0,47.62800454,47.62800454,"annot__2013_05_27_09_00_40.mp3"
"14",510415,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:38","",NA,28.9,30.3,5,2481,NA,NA,NA,NA,""
"15",510416,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:38","",NA,30,29.2,5,4293,NA,NA,NA,NA,""
"16",510417,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.4,29.6,5,22964,NA,NA,NA,NA,""
"17",510418,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.6,29.9,5,676,NA,NA,NA,NA,""
"18",510419,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.7,28.7,5,2736,NA,NA,NA,NA,""
"19",510420,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,28.9,29.1,5,1520,NA,NA,NA,NA,""
"20",510421,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.2,29.4,5,3213,NA,NA,NA,NA,""
"21",510422,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.7,29.9,5,8393,NA,NA,NA,NA,""
"22",510423,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.7,29.4,5,576,NA,NA,NA,NA,""
"23",510411,4907,"S8285971","Yes","T19",9,2,"Audio","2/09/13 10:37","finished",NA,NA,NA,NA,NA,3,0,35.53201814,35.53201814,"annot__2013_05_27_08_59_45.mp3"
"24",510425,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.6,29.4,5,1170,NA,NA,NA,NA,""
"25",510426,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.6,29.6,5,902,NA,NA,NA,NA,""
"26",510427,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.7,29.9,5,1760,NA,NA,NA,NA,""
"27",510428,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,30,30.2,5,5198,NA,NA,NA,NA,""
"28",510429,4907,"S8285971","Yes","T19",9,2,"Audio","2/09/13 10:39","finished",NA,NA,NA,NA,NA,0,0,58.96800454,58.96800454,"annot__2013_05_27_09_03_39.mp3"
"29",510430,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,30.3,32.7,5,1882,NA,NA,NA,NA,""
"30",510431,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,33.1,36.4,5,24092,NA,NA,NA,NA,""
"31",510432,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,36.1,35.6,5,2516,NA,NA,NA,NA,""
"32",510433,4907,"S8285971","Yes","T19",9,2,"Audio","2/09/13 10:40","finished",NA,NA,NA,NA,NA,2,0,30.6,30.6,"annot__2013_05_27_09_05_32.mp3"
"33",510434,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,35.8,35.9,5,8736,NA,NA,NA,NA,""
"34",510435,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,36.1,36.7,5,5715,NA,NA,NA,NA,""
"35",510436,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,36.9,39.1,5,4021,NA,NA,NA,NA,""
"36",510424,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:39","",NA,29.6,29.7,5,7097,NA,NA,NA,NA,""
"37",510438,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,39.9,38.5,5,3797,NA,NA,NA,NA,""
"38",510439,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,38.6,36.6,5,3309,NA,NA,NA,NA,""
"39",510440,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,36.7,37.7,5,1019,NA,NA,NA,NA,""
"40",510441,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,38.2,40.7,5,1056,NA,NA,NA,NA,""
"41",510442,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,40.9,42.5,5,1895,NA,NA,NA,NA,""
"42",510443,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,42.6,51.6,5,2758,NA,NA,NA,NA,""
"43",510444,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,51.3,41.7,5,2848,NA,NA,NA,NA,""
"44",510445,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:40","",NA,41,37.7,5,3468,NA,NA,NA,NA,""
"45",510446,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:41","",NA,37.5,35.5,5,3954,NA,NA,NA,NA,""
"46",510447,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:41","",NA,35.8,39.6,5,846,NA,NA,NA,NA,""
"47",510448,4907,"S8285971","Yes","T19",9,2,"Audio","2/09/13 10:41","pause",NA,NA,NA,NA,NA,6,0,35.78195011,56.34,"annot__2013_05_27_09_06_24.mp3"
"48",510449,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:41","",NA,39.8,42.3,5,4802,NA,NA,NA,NA,""
"49",510450,4907,"S8285971","Yes","T19",9,2,"Audio","2/09/13 10:41","pause",NA,NA,NA,NA,NA,1,0,11.14557823,124.2360091,"annot__2013_05_27_09_12_06.mp3"
"50",510508,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 10:58","",NA,39.8,42.3,5,1059022,NA,NA,NA,NA,""
"51",510509,4907,"S8285971","Yes","T19",9,2,"Automatic","2/09/13 10:58","closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"52",368296,4907,"S8285971","Yes","T19",9,2,"Scroll","4/06/13 14:04","",NA,94.6,90.2,6,4989,NA,NA,NA,NA,""
"53",368301,4907,"S8285971","Yes","T19",9,2,"Scroll","4/06/13 14:04","",NA,90.1,87.2,6,1382,NA,NA,NA,NA,""
"54",368305,4907,"S8285971","Yes","T19",9,2,"Scroll","4/06/13 14:04","",NA,87.2,85.8,6,2015,NA,NA,NA,NA,""
"55",368314,4907,"S8285971","Yes","T19",9,2,"Scroll","4/06/13 14:04","",NA,85.7,50.5,6,3261,NA,NA,NA,NA,""
"56",368318,4907,"S8285971","Yes","T19",9,2,"Scroll","4/06/13 14:04","",NA,50.5,41.6,6,1667,NA,NA,NA,NA,""
"57",368322,4907,"S8285971","Yes","T19",9,2,"Scroll","4/06/13 14:04","",NA,41.6,0,6,2433,NA,NA,NA,NA,""
"58",368324,4907,"S8285971","Yes","T19",9,2,"Automatic","4/06/13 14:04","closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"59",368325,4907,"S8285971","Yes","T19",9,2,"Scroll","4/06/13 14:04","",NA,41.6,100,Inf,1522,NA,NA,NA,NA,""
"60",510121,4907,"S8285971","Yes","T19",9,2,"Automatic","2/09/13 9:17","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"61",510122,4907,"S8285971","Yes","T19",9,2,"Scroll","2/09/13 9:17","",NA,0,0,9,1088,NA,NA,NA,NA,""
