"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"779","S8645947",7980,"T06","11/09/13 22:50",100,80,100,80,80,100,60,80,100,60,100,100,NA,80,4436,"Yes"
"780","S8645977",8379,"T09","1/09/13 23:17",100,100,100,100,100,100,100,80,60,80,100,80,NA,100,4371,"Yes"
"781","S8645981",8390,"T15","18/09/13 13:26",80,100,60,80,100,80,80,80,60,40,40,80,NA,80,4123,"Yes"
"783","S8645995",8624,"T07","14/09/13 17:11",80,100,80,80,80,60,80,100,100,100,100,100,NA,80,4113,"Yes"
"784","S8646003",8025,"T08","9/09/13 13:18",80,100,40,100,80,60,60,60,80,60,60,100,NA,80,4231,"Yes"
"785","S8646087",8199,"T10","19/09/13 12:12",80,80,60,40,100,80,60,80,60,80,60,100,NA,80,4684,"Yes"
"786","S8646091",6492,"T10","10/09/13 13:41",100,100,100,100,100,100,80,80,80,100,100,100,NA,100,4251,"Yes"
"787","S8646097",8351,"T09","15/09/13 15:07",100,100,100,80,80,100,100,80,80,80,100,100,NA,100,4456,"Yes"
"788","S8646099",8552,"T02","19/09/13 13:10",100,100,100,100,100,100,60,100,80,100,100,100,NA,100,4416,"Yes"
"789","S8646107",8338,"T17","17/09/13 13:14",80,80,60,80,80,100,80,60,80,60,40,80,NA,80,4131,"Yes"
"790","S8646167",8547,"T05","20/09/13 10:56",100,100,100,100,100,100,80,80,100,80,100,100,NA,100,4176,"Yes"
"791","S8646173",8210,"T16","2/09/13 14:16",100,20,20,20,100,100,60,80,60,40,40,80,NA,60,4477,"Yes"
"792","S8646187",8140,"T11","12/09/13 10:54",100,100,100,80,60,80,80,100,80,80,100,100,NA,80,4214,"Yes"
"793","S8646295",8075,"T11","19/09/13 12:12",100,100,100,80,80,100,80,60,80,80,100,100,NA,80,4661,"Yes"
"794","S8646297",8375,"T13","2/09/13 14:16",80,100,100,100,100,100,80,100,100,100,100,100,NA,100,4475,"Yes"
"795","S8646307",8527,"T12","1/09/13 23:17",100,100,80,100,80,100,80,100,100,80,100,80,NA,100,4155,"Yes"
"796","S8646309",8237,"T04","18/09/13 13:25",80,100,80,20,80,100,80,60,60,100,60,80,NA,80,4386,"Yes"
"797","S8646315",8276,"T10","2/09/13 13:30",100,100,100,100,100,60,100,40,40,40,60,80,NA,NA,4257,"Yes"
"798","S8646319",8466,"T13","19/09/13 11:27",80,100,100,100,100,100,80,100,100,100,100,100,NA,100,4179,"Yes"
