Submission ID,Marking_Time (seconds),Text (%),Drawing (%),Recording (%)
2311,1488,92,0,8
2310,1124,93,0,7
2307,3584,56,19,26
2309,1016,67,26,7
2306,521,0,0,100
3122,563,0,22,78
2308,-1,0,0,0
2313,0,0,0,0
2314,0,0,0,0
2315,0,0,0,0
2316,546,0,0,100
2317,753,6,12,82
2318,819,63,33,4
3121,740,53,0,47
2320,1874,0,0,100
2325,909,50,7,43
2326,1346,45,20,35
2327,1303,61,4,35
2328,1490,0,46,55
2329,0,0,0,0
2330,0,0,0,0
2332,2174,54,17,29
2333,378,14,48,38
2334,1565,0,0,100
2335,1170,69,24,7
2336,1325,0,0,100
2337,1665,68,14,18
2338,0,0,0,0
2351,792,50,10,40
2352,521,0,0,100
2353,826,75,0,25
2354,9653,33,55,12
2355,1908,44,6,50
2356,735,27,36,36
2357,201,13,19,69
2358,772,0,0,100
2359,1442,0,0,100
2360,2752,68,29,4
2361,460,0,0,100
2362,1901,25,19,56
2363,1406,8,23,69
2364,463,0,0,100
2365,118,0,0,0
2366,692,79,0,21
2367,637,27,27,47
2368,438,0,0,100
2369,230,0,0,100
2370,807,20,30,50
2371,1177,30,0,70
2372,442,0,0,100
2373,1085,53,0,47
2374,1261,21,21,57
2375,554,82,12,6
2376,868,0,42,58
2377,-1,0,0,0
2378,1197,21,14,64
2379,994,50,17,33
2380,867,36,21,43
2381,1282,0,0,100
2383,2088,19,6,75
2384,3352,36,19,45
2385,1614,10,10,80
2386,721,50,10,40
2387,5085,0,0,0
2388,411,0,0,100
2389,608,0,0,100
2390,1513,57,37,7
2391,411,0,13,88
2392,627,78,0,22
2393,406,0,0,100
2394,7206,0,0,0
2395,1820,88,0,13
2396,1291,64,23,14
2397,1311,38,6,56
2398,1569,10,30,60
2399,477,50,17,33
2400,1018,6,19,75
2401,454,25,25,50
2402,823,38,8,54
2403,936,93,0,7
2404,1118,6,18,76
2405,614,0,9,91
2406,676,0,10,90
2407,813,63,0,38
2408,976,72,23,6
2409,395,0,0,100
2410,935,7,7,86
2411,2172,21,7,71
2412,619,0,0,100
2413,3398,0,43,57
2414,479,0,0,100
2415,2275,43,44,13
2416,1209,60,20,20
2417,1884,94,0,6
2418,446,0,0,100
2419,1170,15,30,54
2420,1384,20,30,50
2421,899,80,0,20
2422,1251,61,6,33
2423,784,8,8,83
2424,512,0,0,100
2425,950,89,0,11
2426,981,50,0,50
2427,1909,26,30,43
2428,332,0,0,100
2429,5112,15,53,32
2430,1176,0,0,100
2431,844,46,0,54
2432,1026,57,29,14
2433,820,40,40,20
2434,709,63,13,25
2435,1172,16,16,68
2436,935,64,27,9
2437,837,33,27,40
2438,1113,26,11,63
2439,1228,83,0,17
2440,1029,77,14,9
2441,658,79,7,14
2442,1061,0,0,100
2443,807,56,6,38
2444,1218,0,0,100
