"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"1","S8110327",3712,"T18","8/05/13 13:21",100,100,80,100,100,80,100,60,80,100,100,80,NA,100,2781,"Yes"
"2","S8112239",4236,"T25","15/05/13 8:22",100,100,80,100,100,100,100,80,80,100,100,100,NA,100,3385,"Yes"
"3","S8233701",3905,"T15","10/05/13 11:16",80,100,80,100,100,100,100,100,100,80,100,100,NA,100,2579,"Yes"
"4","S8234819",4387,"T10","15/05/13 8:22",100,100,60,80,100,100,60,60,60,60,100,60,NA,80,2782,"Yes"
"5","S8236749",5502,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580,"Yes"
"6","S8243911",3991,"T10","10/05/13 11:10",100,100,100,100,80,100,80,100,100,80,100,80,NA,100,2753,"Yes"
"7","S8244607",4154,"T02","13/05/13 9:50",100,100,100,100,80,100,60,60,80,60,100,80,NA,80,2744,"Yes"
"9","S8287253",4021,"T05","10/05/13 15:46",80,100,100,80,80,100,80,80,60,60,100,100,NA,80,2581,"Yes"
"10","S8345077",3973,"T01","7/05/13 15:00",100,80,100,80,60,80,40,60,80,80,60,80,NA,80,2582,"Yes"
"11","S8349949",3920,"T19","10/05/13 11:12",80,60,80,80,80,20,60,60,60,60,20,60,NA,60,2583,"Yes"
"12","S8392669",3967,"T21","10/05/13 11:16",80,100,80,80,100,100,80,100,100,100,40,100,NA,80,2589,"Yes"
"13","S8402295",4050,"T15","10/05/13 11:16",80,100,100,100,80,80,100,80,80,60,60,80,NA,80,463,"Yes"
"14","S8408443",4108,"T10","10/05/13 11:10",100,100,100,100,80,100,100,80,80,60,100,100,NA,100,2588,"Yes"
"15","S8409235",3900,"T19","10/05/13 11:12",80,100,80,80,100,100,80,80,80,80,100,100,NA,80,2586,"Yes"
"18","S8412939",3795,"T21","6/05/13 9:52",80,100,80,100,80,100,80,100,100,80,100,100,NA,100,2584,"Yes"
