Submission ID,Marking_Time (seconds),Text (%),Drawing (%),Recording (%)
3142,0,0,0,0
3143,1312,7,43,50
3144,3351,49,44,7
3145,2745,33,48,20
3146,1040,0,0,100
3147,644,9,43,48
3148,0,0,0,0
3149,759,24,24,53
3150,1115,16,40,44
3152,855,0,18,82
3153,1799,0,0,100
3154,18241,4,22,74
3156,2114,0,0,100
3157,2403,0,0,100
3158,1147,6,31,63
3159,1869,18,39,42
3160,3319,53,41,6
3162,2420,51,42,8
3164,2277,15,25,60
3165,2767,0,0,100
3166,4095,46,47,6
3167,1403,11,43,46
3168,5096,0,0,100
3169,1563,11,33,56
3170,2844,1,0,99
3171,5384,35,39,26
3173,1422,0,40,60
3174,1048,17,50,33
3175,1761,0,0,100
3176,3194,53,41,6
3177,754,13,20,67
3178,914,0,0,100
3179,3560,4,0,96
3180,718,13,31,56
3181,1588,0,0,100
3182,2291,0,0,100
3183,1658,5,30,65
3184,2166,5,45,50
3185,1726,7,29,64
3186,1792,7,14,79
3187,8376,46,48,6
3188,1772,12,42,46
3190,3958,50,44,6
3192,3354,0,0,100
3193,1099,0,0,100
3194,1284,0,20,80
3195,867,15,30,56
3196,1710,18,35,47
3197,3169,0,0,100
3198,1819,46,47,7
3199,3965,50,45,5
3200,2699,49,36,15
3201,5501,14,31,54
3202,2332,0,0,100
3203,1301,0,22,78
3204,1344,4,43,54
3205,1035,0,48,52
3206,1808,0,38,62
3207,2141,7,13,80
3208,607,0,0,100
3209,2131,0,15,85
3210,1555,0,5,95
3211,4201,48,45,7
3212,562,6,6,88
3213,6301,32,57,10
3214,1066,8,0,92
3216,3930,22,47,32
3217,1068,0,37,64
3218,3291,31,53,17
3220,1085,0,13,88
3221,1826,3,28,69
3222,0,0,0,0
3223,4275,9,50,41
3224,1428,3,32,65
3225,2679,0,31,69
3227,1867,4,41,56
3228,6761,36,49,16
3229,1657,0,34,66
3230,2265,3,42,56
3231,2818,8,43,49
3232,2112,3,36,62
3233,1131,0,29,71
3234,7599,28,63,9
3235,762,0,0,100
3236,2200,13,43,45
3237,8581,30,58,13
3238,3539,7,42,51
3239,2826,41,48,11
3240,2808,22,47,31
3241,5198,33,56,11
3242,4907,22,53,24
3243,1607,0,23,77
3244,3616,13,61,26
3245,1527,47,14,40
3246,3077,22,17,61
3247,1842,14,53,33
3248,4252,40,51,9
3249,1369,5,24,71
3250,2424,35,50,15
3251,703,0,0,100
3252,626,0,14,86
3253,2024,25,51,25
3254,4166,51,36,12
3255,2579,15,53,33
3256,6614,23,2,74
3257,2724,22,38,41
3258,1584,0,38,62
3259,4585,47,43,11
3260,0,0,0,0
3261,1830,0,48,52
3262,406,0,6,94
3263,0,0,0,0
3264,1729,0,26,74
3265,1618,0,39,61
3266,1629,0,36,64
3267,3893,20,56,24
3268,1108,0,28,72
3269,3904,32,11,58
3270,0,0,0,0
3271,1428,0,6,94
3272,1033,0,17,83
3273,903,0,25,75
3274,1644,6,12,82
3275,558,6,6,89
3276,903,0,0,100
3277,298,0,0,100
3278,1552,20,33,47
3279,493,0,18,82
3281,943,0,7,93
3282,1844,21,38,41
3283,2147,16,63,21
3624,1214,10,38,52
3285,4399,36,45,19
3286,1116,0,14,86
3287,3383,33,42,25
3288,265,18,9,73
3289,861,0,8,92
3290,1602,0,15,85
3291,2383,17,43,39
3292,2576,32,37,32
3293,1769,13,40,47
3294,1969,11,37,52
3295,0,0,0,0
3296,0,0,0,0
3297,1300,30,40,30
3298,1921,18,64,18
3299,3287,10,67,23
3300,1334,5,40,55
3301,2666,19,38,42
3302,623,8,8,83
3303,549,6,11,83
3304,2386,0,0,100
3305,806,0,29,71
3306,1049,0,8,92
3307,1063,22,22,56
3308,0,0,0,0
3309,758,0,0,100
3310,1049,7,40,53
3311,3295,18,41,41
3312,3092,34,59,6
3313,460,0,7,93
3314,517,0,8,92
3315,1519,0,24,76
3316,2769,3,27,70
3317,2395,0,18,82
3318,2769,31,41,28
3319,1341,38,46,18
3320,2126,7,44,48
3321,844,13,22,65
3322,80,0,0,0
3323,767,0,0,100
3324,1315,30,31,39
3325,1306,33,42,26
3326,3175,29,32,39
3327,925,0,11,89
3328,734,0,11,89
3329,727,0,0,100
3331,337,0,7,93
3332,1527,27,32,41
3333,1502,18,30,53
3334,3006,42,35,23
3335,2306,15,45,39
3336,5420,30,46,25
3337,1197,13,13,73
3338,3098,14,43,43
3339,10688,17,33,50
3340,4525,47,47,6
3341,356,10,0,90
3342,1205,12,18,71
3343,3434,45,50,5
3344,4482,47,47,6
3345,2773,18,45,37
3346,5228,39,37,24
3347,1184,20,34,47
3348,3177,20,45,35
3349,0,0,0,0
3350,3591,34,56,10
3351,696,0,0,100
3352,529,0,11,89
3353,3839,15,42,44
3354,794,0,15,85
3355,2561,38,51,13
3356,1542,32,36,32
3357,1474,0,17,83
3358,2677,28,55,16
3359,852,0,8,92
3360,3929,24,45,31
3361,2318,24,18,59
3362,1564,32,61,7
3363,3129,14,37,50
3364,6492,37,45,18
3365,1044,8,0,92
3366,1366,0,0,100
3367,991,0,0,100
3368,2376,32,50,17
3369,907,0,8,92
3370,513,0,14,86
3371,2679,16,32,52
3372,1550,9,33,58
3373,422,7,14,79
3374,1149,0,0,100
3375,3315,35,48,17
3376,3479,40,47,13
3377,375,8,0,92
3378,3622,26,38,36
3379,768,0,0,100
3380,5129,47,49,3
3381,677,8,8,83
3382,6014,22,46,32
3383,834,0,9,91
3384,4360,17,30,52
3385,3307,17,39,44
3386,875,0,7,93
3387,2875,28,45,28
3388,702,0,17,83
3389,1907,8,43,50
3390,2178,30,54,15
3391,1577,29,41,29
3392,5362,35,50,16
3393,707,0,21,79
3400,1905,0,0,100
3401,1108,0,35,65
3402,3656,24,55,21
3403,2636,21,29,50
3404,924,33,17,50
3434,2848,8,44,48
3435,2508,17,40,43
3623,1257,5,41,55
3855,2659,24,57,19
3875,2214,13,44,44
3876,808,0,17,83
3877,1978,5,44,51
3878,1780,11,22,67
4061,3046,16,63,22
4062,1785,20,24,56
4419,1875,54,47,0
5459,1772,56,43,0
