"","EventID","SubmissionID","StudentID","Consent","MarkerID","Audio.Annot","Log.Type","Interaction","Date","State","Pages","Start","End","Page.Size","msec.B4.scroll","AnnotID","From.time","Current.time","Duration","Filename"
"1",708407,10608,"S8419713","Yes","T37",4,2,"Automatic","1/11/13 13:05","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2",708411,10608,"S8419713","Yes","T37",4,2,"Annotations","1/11/13 13:05","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"3",708414,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,0,0,8,6449,NA,NA,NA,NA,""
"4",708415,10608,"S8419713","Yes","T37",4,2,"Details","1/11/13 13:05","",6,NA,NA,NA,NA,NA,NA,NA,NA,""
"5",708416,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,0.1,0,4,907,NA,NA,NA,NA,""
"6",708417,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,0,43.1,4,2795,NA,NA,NA,NA,""
"7",708418,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,43.3,71.8,4,974,NA,NA,NA,NA,""
"8",708419,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,71.8,69.8,4,2037,NA,NA,NA,NA,""
"9",708420,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,69.8,64.7,4,1839,NA,NA,NA,NA,""
"10",708424,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,64.7,61.8,4,1850,NA,NA,NA,NA,""
"11",708426,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,61.8,59.6,4,701,NA,NA,NA,NA,""
"12",708427,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:05","",NA,59.6,57.3,4,984,NA,NA,NA,NA,""
"13",708428,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,57.3,54,4,1505,NA,NA,NA,NA,""
"14",708429,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,54,72.3,4,2462,NA,NA,NA,NA,""
"15",708430,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,72.3,77.8,4,897,NA,NA,NA,NA,""
"16",708431,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,77.8,76.3,4,1638,NA,NA,NA,NA,""
"17",708432,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,76.3,81.6,4,1819,NA,NA,NA,NA,""
"18",708433,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,81.6,85.1,4,784,NA,NA,NA,NA,""
"19",708434,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,85.1,88.2,4,868,NA,NA,NA,NA,""
"20",708435,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,88.2,91.5,4,1273,NA,NA,NA,NA,""
"21",708436,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:06","",NA,91.5,96.1,4,1899,NA,NA,NA,NA,""
"22",708446,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:07","",NA,96.1,39.1,4,51404,NA,NA,NA,NA,""
"23",708447,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:07","",NA,39.1,43.8,4,812,NA,NA,NA,NA,""
"24",708448,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:07","",NA,43.8,19,4,2292,NA,NA,NA,NA,""
"25",708449,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:07","",NA,19,23.1,4,795,NA,NA,NA,NA,""
"26",708450,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:07","",NA,23.1,4.1,4,2059,NA,NA,NA,NA,""
"27",708451,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:07","",NA,4.1,0,4,1597,NA,NA,NA,NA,""
"28",708452,10608,"S8419713","Yes","T37",4,2,"Scroll","1/11/13 13:07","",NA,0,2,4,991,NA,NA,NA,NA,""
"29",708453,10608,"S8419713","Yes","T37",4,2,"Automatic","1/11/13 13:07","closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"30",693555,10681,"S8285971","Yes","T30",5,2,"Automatic","31/10/13 12:27","opened",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"31",693556,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,0,0,9,825,NA,NA,NA,NA,""
"32",693557,10681,"S8285971","Yes","T30",5,2,"Annotations","31/10/13 12:27","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"33",693558,10681,"S8285971","Yes","T30",5,2,"Details","31/10/13 12:27","",8,NA,NA,NA,NA,NA,NA,NA,NA,""
"34",693572,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,0,4.1,5,3249,NA,NA,NA,NA,""
"35",693573,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,4.2,95,5,1643,NA,NA,NA,NA,""
"36",693586,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,71.8,70.1,5,2179,NA,NA,NA,NA,""
"37",693587,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,70.1,69.4,5,1600,NA,NA,NA,NA,""
"38",693589,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,69.4,68,5,1740,NA,NA,NA,NA,""
"39",693591,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,68,66.3,5,2450,NA,NA,NA,NA,""
"40",693592,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,66.3,64.3,5,3530,NA,NA,NA,NA,""
"41",693594,10681,"S8285971","Yes","T30",5,2,"Scroll","31/10/13 12:27","",NA,64.3,57.8,5,2621,NA,NA,NA,NA,""
